urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity
2026-04-01T10:00:00+05:30,100,52.43,100,95.41,100,30.5,100,70.55
2026-04-02T10:00:00+05:30,100,52.9,100,96.62,100,30.15,100,72.88
2026-04-03T10:00:00+05:30,100,57.42,100,91.39,100,30.99,100,71.54
2026-04-04T10:00:00+05:30,100,61.51,100,91.72,100,32.3,100,73.32
2026-04-05T10:00:00+05:30,100,62.63,100,89.47,100,31.78,100,70.55
2026-04-06T10:00:00+05:30,100,63.41,100,92.26,100,31.27,100,70.76
2026-04-07T10:00:00+05:30,100,57.64,100,91.45,100,33.11,100,70.02
2026-04-08T10:00:00+05:30,100,53.94,100,91.56,100,32.76,100,69.4
2026-04-09T10:00:00+05:30,100,53.9,100,92.93,100,33.33,100,67.86
2026-04-10T10:00:00+05:30,100,57.25,100,95.44,100,33.42,100,70.57
2026-04-11T10:00:00+05:30,100,55.12,100,98.77,100,33.16,100,66.46
2026-04-12T10:00:00+05:30,100,53.53,100,94.07,100,33.11,100,67.94
2026-04-13T10:00:00+05:30,100,50.9,100,96.73,100,34.05,100,70.05
2026-04-14T10:00:00+05:30,100,47.38,100,95.59,100,33.85,100,71.38
2026-04-15T10:00:00+05:30,100,72.16,100,140.52,100,33.61,100,72.44
2026-04-16T10:00:00+05:30,100,47.36,100,96.63,100,33.86,100,70.79
2026-04-17T10:00:00+05:30,100,50.19,100,106.37,100,32.61,100,70.14
2026-04-18T10:00:00+05:30,100,46.51,100,94.53,100,32.88,100,66.19
2026-04-19T10:00:00+05:30,100,48.04,100,88.44,100,33.53,100,68.9
2026-04-20T10:00:00+05:30,100,68.36,100,118.23,100,33.21,100,67.62
2026-04-21T10:00:00+05:30,100,72.43,100,127.27,100,33.15,100,64.89
2026-04-22T10:00:00+05:30,100,44.75,100,92.27,100,33.12,100,63.49
2026-04-23T10:00:00+05:30,100,42.26,100,97.76,100,33.09,100,60.85
2026-04-24T10:00:00+05:30,100,42.58,100,100.3,100,33.55,100,61.64
2026-04-25T10:00:00+05:30,100,41.3,100,100.18,100,34.58,100,60.99
2026-04-26T10:00:00+05:30,100,43.13,100,102.43,100,34.31,100,59.03
2026-04-27T10:00:00+05:30,100,65.47,100,148.38,100,33.97,100,62.21
2026-04-28T10:00:00+05:30,100,43.9,100,87.62,100,34.69,100,58.75
2026-04-29T10:00:00+05:30,100,42.34,100,83.72,100,34.11,100,57.4
2026-04-30T10:00:00+05:30,100,65.28,100,129.48,100,35.51,100,58.11
2026-05-01T10:00:00+05:30,100,45.6,100,89.68,100,35.4,100,55.44
2026-05-02T10:00:00+05:30,100,50.8,100,96.02,100,34.72,100,55.93
2026-05-03T10:00:00+05:30,100,53.52,100,91.9,100,35.76,100,55.31
