urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity
2026-04-01T10:00:00+05:30,100,54.52,100,89.71,100,30.54,100,74.08
2026-04-02T10:00:00+05:30,100,50.7,100,79.74,100,30.31,100,71.28
2026-04-03T10:00:00+05:30,100,47.09,100,82.68,100,30.99,100,73.63
2026-04-04T10:00:00+05:30,100,72.39,100,136.77,100,31.42,100,75.5
2026-04-05T10:00:00+05:30,100,74.03,100,142.31,100,31.35,100,71.64
2026-04-06T10:00:00+05:30,100,43.5,100,86.35,100,31.42,100,70.63
2026-04-07T10:00:00+05:30,100,41.35,100,92.71,100,31.01,100,76.1
2026-04-08T10:00:00+05:30,100,40.26,100,85.85,100,30.64,100,70.17
2026-04-09T10:00:00+05:30,100,41.95,100,86.44,100,30.8,100,68.29
2026-04-10T10:00:00+05:30,100,41.28,100,80.53,100,31.5,100,70.02
2026-04-11T10:00:00+05:30,100,37.72,100,75.55,100,32.45,100,69.87
2026-04-12T10:00:00+05:30,100,40.75,100,77.07,100,31.74,100,67.65
2026-04-13T10:00:00+05:30,100,40.7,100,73.78,100,33.86,100,66.47
2026-04-14T10:00:00+05:30,100,47.18,100,69.11,100,33.03,100,66.85
2026-04-15T10:00:00+05:30,100,45.44,100,64.12,100,33.22,100,66.44
2026-04-16T10:00:00+05:30,100,77.96,100,102.84,100,33.35,100,66.89
2026-04-17T10:00:00+05:30,100,51.7,100,70.82,100,33.89,100,67.18
2026-04-18T10:00:00+05:30,100,49.72,100,62.5,100,33.75,100,65.64
2026-04-19T10:00:00+05:30,100,47.17,100,63.67,100,35.08,100,63.95
2026-04-20T10:00:00+05:30,100,50.26,100,67.16,100,33.57,100,64.58
2026-04-21T10:00:00+05:30,100,51.85,100,62.32,100,33.46,100,61.42
2026-04-22T10:00:00+05:30,100,54.11,100,66.63,100,34.27,100,61.73
2026-04-23T10:00:00+05:30,100,57.34,100,73.27,100,34.68,100,63.29
2026-04-24T10:00:00+05:30,100,57.03,100,73.19,100,35.41,100,62.56
2026-04-25T10:00:00+05:30,100,56.87,100,68.86,100,35.91,100,61.96
2026-04-26T10:00:00+05:30,100,57.58,100,68.27,100,35.87,100,58.77
2026-04-27T10:00:00+05:30,100,55.06,100,67.52,100,36.29,100,58.66
2026-04-28T10:00:00+05:30,100,56.9,100,71.97,100,35.02,100,56.22
2026-04-29T10:00:00+05:30,100,56.0,100,70.03,100,35.45,100,53.64
2026-04-30T10:00:00+05:30,100,54.28,100,68.62,100,34.8,100,56.02
2026-05-01T10:00:00+05:30,100,53.27,100,70.26,100,36.36,100,55.92
2026-05-02T10:00:00+05:30,100,54.47,100,65.61,100,35.03,100,55.38
2026-05-03T10:00:00+05:30,100,54.48,100,58.17,100,35.16,100,50.68
