urn:ogc:def:parameter:x-istsos:1.0:time:iso8601,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM2.5,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:PM10,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:temperature,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity:Quality,urn:ogc:def:parameter:x-istsos:1.0:meteo:air:humidity
2026-04-01T10:00:00+05:30,100,61.63,100,113.12,100,28.13,100,70.15
2026-04-02T10:00:00+05:30,100,61.27,100,108.11,100,28.35,100,69.77
2026-04-03T10:00:00+05:30,100,61.13,100,108.28,100,28.78,100,69.6
2026-04-04T10:00:00+05:30,100,61.08,100,108.52,100,28.86,100,67.94
2026-04-05T10:00:00+05:30,100,61.79,100,106.84,100,28.8,100,68.93
2026-04-06T10:00:00+05:30,100,59.93,100,108.05,100,28.98,100,68.08
2026-04-07T10:00:00+05:30,100,84.59,100,151.43,100,29.28,100,70.8
2026-04-08T10:00:00+05:30,100,59.4,100,109.65,100,28.21,100,69.05
2026-04-09T10:00:00+05:30,100,99.66,100,181.82,100,28.76,100,67.6
2026-04-10T10:00:00+05:30,100,59.08,100,104.47,100,28.81,100,66.32
2026-04-11T10:00:00+05:30,100,60.02,100,102.23,100,29.42,100,68.15
2026-04-12T10:00:00+05:30,100,58.82,100,105.28,100,30.45,100,67.04
2026-04-13T10:00:00+05:30,100,58.17,100,96.28,100,29.6,100,65.38
2026-04-14T10:00:00+05:30,100,57.29,100,96.82,100,29.37,100,66.68
2026-04-15T10:00:00+05:30,100,54.03,100,91.72,100,30.64,100,64.78
2026-04-16T10:00:00+05:30,100,53.38,100,96.19,100,31.49,100,65.05
2026-04-17T10:00:00+05:30,100,57.8,100,100.03,100,30.15,100,61.92
2026-04-18T10:00:00+05:30,100,59.97,100,97.37,100,31.38,100,61.79
2026-04-19T10:00:00+05:30,100,64.23,100,101.16,100,31.14,100,63.64
2026-04-20T10:00:00+05:30,100,61.41,100,104.19,100,31.06,100,64.03
2026-04-21T10:00:00+05:30,100,62.29,100,97.87,100,31.54,100,59.91
2026-04-22T10:00:00+05:30,100,66.52,100,93.6,100,32.35,100,62.15
2026-04-23T10:00:00+05:30,100,63.9,100,99.14,100,32.24,100,59.92
2026-04-24T10:00:00+05:30,100,65.85,100,91.5,100,31.63,100,61.79
2026-04-25T10:00:00+05:30,100,66.59,100,92.75,100,33.24,100,61.38
2026-04-26T10:00:00+05:30,100,100.49,100,143.3,100,33.16,100,59.3
2026-04-27T10:00:00+05:30,100,72.51,100,104.87,100,32.39,100,57.61
2026-04-28T10:00:00+05:30,100,72.72,100,109.8,100,32.71,100,59.87
2026-04-29T10:00:00+05:30,100,68.07,100,110.92,100,32.58,100,59.83
2026-04-30T10:00:00+05:30,100,61.65,100,107.96,100,32.38,100,54.34
2026-05-01T10:00:00+05:30,100,60.56,100,110.05,100,33.33,100,58.27
2026-05-02T10:00:00+05:30,100,62.17,100,111.34,100,33.97,100,54.56
2026-05-03T10:00:00+05:30,100,100.91,100,190.62,100,33.7,100,51.93
