station_id,station_name,latitude,longitude,timestamp,parameter,value
ST001,Colaba,18.9067,72.8147,2026-04-01 10:00:00,pm25,42.37
ST001,Colaba,18.9067,72.8147,2026-04-01 10:00:00,pm10,60.48
ST001,Colaba,18.9067,72.8147,2026-04-01 10:00:00,temperature,29.04
ST001,Colaba,18.9067,72.8147,2026-04-01 10:00:00,humidity,64.88
ST001,Colaba,18.9067,72.8147,2026-04-02 10:00:00,pm25,44.01
ST001,Colaba,18.9067,72.8147,2026-04-02 10:00:00,pm10,62.63
ST001,Colaba,18.9067,72.8147,2026-04-02 10:00:00,temperature,28.85
ST001,Colaba,18.9067,72.8147,2026-04-02 10:00:00,humidity,61.79
ST001,Colaba,18.9067,72.8147,2026-04-03 10:00:00,pm25,45.34
ST001,Colaba,18.9067,72.8147,2026-04-03 10:00:00,pm10,55.95
ST001,Colaba,18.9067,72.8147,2026-04-03 10:00:00,temperature,29.05
ST001,Colaba,18.9067,72.8147,2026-04-03 10:00:00,humidity,62.34
ST001,Colaba,18.9067,72.8147,2026-04-04 10:00:00,pm25,47.30
ST001,Colaba,18.9067,72.8147,2026-04-04 10:00:00,pm10,53.03
ST001,Colaba,18.9067,72.8147,2026-04-04 10:00:00,temperature,28.70
ST001,Colaba,18.9067,72.8147,2026-04-04 10:00:00,humidity,61.69
ST001,Colaba,18.9067,72.8147,2026-04-05 10:00:00,pm25,48.96
ST001,Colaba,18.9067,72.8147,2026-04-05 10:00:00,pm10,66.99
ST001,Colaba,18.9067,72.8147,2026-04-05 10:00:00,temperature,29.48
ST001,Colaba,18.9067,72.8147,2026-04-05 10:00:00,humidity,59.79
ST001,Colaba,18.9067,72.8147,2026-04-06 10:00:00,pm25,49.08
ST001,Colaba,18.9067,72.8147,2026-04-06 10:00:00,pm10,66.89
ST001,Colaba,18.9067,72.8147,2026-04-06 10:00:00,temperature,29.46
ST001,Colaba,18.9067,72.8147,2026-04-06 10:00:00,humidity,63.45
ST001,Colaba,18.9067,72.8147,2026-04-07 10:00:00,pm25,47.03
ST001,Colaba,18.9067,72.8147,2026-04-07 10:00:00,pm10,75.11
ST001,Colaba,18.9067,72.8147,2026-04-07 10:00:00,temperature,29.53
ST001,Colaba,18.9067,72.8147,2026-04-07 10:00:00,humidity,59.23
ST001,Colaba,18.9067,72.8147,2026-04-08 10:00:00,pm25,64.34
ST001,Colaba,18.9067,72.8147,2026-04-08 10:00:00,pm10,87.72
ST001,Colaba,18.9067,72.8147,2026-04-08 10:00:00,temperature,31.06
ST001,Colaba,18.9067,72.8147,2026-04-08 10:00:00,humidity,58.69
ST001,Colaba,18.9067,72.8147,2026-04-09 10:00:00,pm25,43.67
ST001,Colaba,18.9067,72.8147,2026-04-09 10:00:00,pm10,60.00
ST001,Colaba,18.9067,72.8147,2026-04-09 10:00:00,temperature,29.34
ST001,Colaba,18.9067,72.8147,2026-04-09 10:00:00,humidity,60.03
ST001,Colaba,18.9067,72.8147,2026-04-10 10:00:00,pm25,39.07
ST001,Colaba,18.9067,72.8147,2026-04-10 10:00:00,pm10,51.85
ST001,Colaba,18.9067,72.8147,2026-04-10 10:00:00,temperature,29.88
ST001,Colaba,18.9067,72.8147,2026-04-10 10:00:00,humidity,60.64
ST001,Colaba,18.9067,72.8147,2026-04-11 10:00:00,pm25,35.98
ST001,Colaba,18.9067,72.8147,2026-04-11 10:00:00,pm10,52.49
ST001,Colaba,18.9067,72.8147,2026-04-11 10:00:00,temperature,30.66
ST001,Colaba,18.9067,72.8147,2026-04-11 10:00:00,humidity,59.65
ST001,Colaba,18.9067,72.8147,2026-04-12 10:00:00,pm25,39.97
ST001,Colaba,18.9067,72.8147,2026-04-12 10:00:00,pm10,53.29
ST001,Colaba,18.9067,72.8147,2026-04-12 10:00:00,temperature,29.15
ST001,Colaba,18.9067,72.8147,2026-04-12 10:00:00,humidity,59.57
ST001,Colaba,18.9067,72.8147,2026-04-13 10:00:00,pm25,44.86
ST001,Colaba,18.9067,72.8147,2026-04-13 10:00:00,pm10,70.03
ST001,Colaba,18.9067,72.8147,2026-04-13 10:00:00,temperature,29.53
ST001,Colaba,18.9067,72.8147,2026-04-13 10:00:00,humidity,61.52
ST001,Colaba,18.9067,72.8147,2026-04-14 10:00:00,pm25,43.74
ST001,Colaba,18.9067,72.8147,2026-04-14 10:00:00,pm10,56.87
ST001,Colaba,18.9067,72.8147,2026-04-14 10:00:00,temperature,29.86
ST001,Colaba,18.9067,72.8147,2026-04-14 10:00:00,humidity,58.37
ST001,Colaba,18.9067,72.8147,2026-04-15 10:00:00,pm25,79.88
ST001,Colaba,18.9067,72.8147,2026-04-15 10:00:00,pm10,105.90
ST001,Colaba,18.9067,72.8147,2026-04-15 10:00:00,temperature,29.96
ST001,Colaba,18.9067,72.8147,2026-04-15 10:00:00,humidity,57.19
ST001,Colaba,18.9067,72.8147,2026-04-16 10:00:00,pm25,48.66
ST001,Colaba,18.9067,72.8147,2026-04-16 10:00:00,pm10,76.00
ST001,Colaba,18.9067,72.8147,2026-04-16 10:00:00,temperature,30.21
